id,experiment_id,family,apex_angle,rectangle_ratio,pattern,evidence,pieces,utilization,upper_bound,gap,fingerprint
"iso-a75-r2p1","isosceles/apex-75/rectangle-2.1","isosceles","75","2.1","obtuse horizontal lattice","verified_best_known","260","0.9343032545950791","0.9989857876055095","0.06468253301043037","tpa1-f470da2f3f8daf70"
"iso-a75-r2p25","isosceles/apex-75/rectangle-2.25","isosceles","75","2.25","obtuse horizontal lattice","verified_best_known","280","0.9390945533365938","0.9994649174796609","0.06037036414306718","tpa1-7e1a3210150a1e8a"
"iso-a75-r2p4","isosceles/apex-75/rectangle-2.4","isosceles","75","2.4","obtuse horizontal lattice","verified_best_known","300","0.9432869397354195","0.9998841561195434","0.05659721638412385","tpa1-09877792932c7aec"
"iso-a75-r2p55","isosceles/apex-75/rectangle-2.55","isosceles","75","2.55","obtuse horizontal lattice","verified_best_known","300","0.8877994726921596","0.9972947409908579","0.10949526829869827","tpa1-5fd5e4193bc1b674"
"iso-a75-r2p7","isosceles/apex-75/rectangle-2.7","isosceles","75","2.7","obtuse horizontal lattice","verified_best_known","300","0.8384772797648173","0.9977879629201313","0.15931068315531394","tpa1-53acf692fbb74dbb"
"iso-a75-r2p85","isosceles/apex-75/rectangle-2.85","isosceles","75","2.85","obtuse horizontal lattice","verified_best_known","300","0.7943468966193006","0.9982292667515865","0.20388237013228594","tpa1-46522b6c1f4a2684"
"iso-a75-r3","isosceles/apex-75/rectangle-3","isosceles","75","3","obtuse horizontal lattice","verified_best_known","300","0.7546295517883356","0.9986264401998962","0.24399688841156064","tpa1-3cecbc593634c336"
"iso-a80-r0p75","isosceles/apex-80/rectangle-0.75","isosceles","80","0.75","obtuse horizontal lattice","verified_best_known","84","0.8617067838856808","0.9950661671060851","0.1333593832204043","tpa1-5a87565776b8dc1b"
"iso-a80-r0p9","isosceles/apex-80/rectangle-0.9","isosceles","80","0.9","obtuse horizontal lattice","verified_best_known","100","0.8548678411564292","0.9916466957414595","0.13677885458503025","tpa1-67a629835896e7ea"
"iso-a80-r1p05","isosceles/apex-80/rectangle-1.05","isosceles","80","1.05","obtuse horizontal lattice","verified_best_known","120","0.8792926366180412","0.9965316548337818","0.11723901821574056","tpa1-ac441bc669652d7b"
"iso-a80-r1p2","isosceles/apex-80/rectangle-1.2","isosceles","80","1.2","obtuse horizontal lattice","verified_best_known","135","0.8655536891708843","0.9937838653443506","0.12823017617346633","tpa1-c7171760c3050a2a"
"iso-a80-r1p35","isosceles/apex-80/rectangle-1.35","isosceles","80","1.35","obtuse horizontal lattice","verified_best_known","156","0.8890625548026859","0.9973458146825023","0.10828325987981635","tpa1-a96ebe6fd8c98307"
"iso-a80-r1p5","isosceles/apex-80/rectangle-1.5","isosceles","80","1.5","obtuse horizontal lattice","verified_best_known","170","0.8719651979795575","0.9950661671060851","0.12310096912652757","tpa1-8dc3a43161e287a2"
"iso-a80-r1p65","isosceles/apex-80/rectangle-1.65","isosceles","80","1.65","obtuse horizontal lattice","verified_best_known","190","0.8859539444712081","0.9978639164044153","0.11190997193320718","tpa1-d6d94ff09c21916a"
"iso-a80-r1p8","isosceles/apex-80/rectangle-1.8","isosceles","80","1.8","obtuse horizontal lattice","verified_best_known","210","0.8976112332142503","0.9959210349472416","0.09830980173299131","tpa1-c24f7f3e780538eb"
"iso-a80-r1p95","isosceles/apex-80/rectangle-1.95","isosceles","80","1.95","obtuse horizontal lattice","verified_best_known","230","0.9074750929199014","0.9982226022118936","0.09074750929199227","tpa1-448b2cfe52db311b"
"iso-a80-r2p1","isosceles/apex-80/rectangle-2.1","isosceles","80","2.1","obtuse horizontal lattice","verified_best_known","250","0.9159298298104593","0.9965316548337818","0.08060182502332247","tpa1-bf6e99855a35b914"
"iso-a80-r2p25","isosceles/apex-80/rectangle-2.25","isosceles","80","2.25","obtuse horizontal lattice","verified_best_known","270","0.9232572684489431","0.9984856384707109","0.07522837002176785","tpa1-cd17109c39549320"
"iso-a80-r2p4","isosceles/apex-80/rectangle-2.4","isosceles","80","2.4","obtuse horizontal lattice","verified_best_known","280","0.8976112332142502","0.9969896197486872","0.09937838653443698","tpa1-85c345b5a92b2f31"
"iso-a80-r2p55","isosceles/apex-80/rectangle-2.55","isosceles","80","2.55","obtuse horizontal lattice","verified_best_known","300","0.9051541847538658","0.9986867838451008","0.09353259909123501","tpa1-a4ec427b9ffab24f"
"iso-a80-r2p7","isosceles/apex-80/rectangle-2.7","isosceles","80","2.7","obtuse horizontal lattice","verified_best_known","300","0.8548678411564287","0.9973458146825023","0.1424779735260736","tpa1-4f86b51b93d1f0be"
"iso-a80-r2p85","isosceles/apex-80/rectangle-2.85","isosceles","80","2.85","obtuse horizontal lattice","verified_best_known","300","0.8098747968850377","0.9988455828248821","0.1889707859398444","tpa1-2da52881c68bc529"
"iso-a80-r3","isosceles/apex-80/rectangle-3","isosceles","80","3","obtuse horizontal lattice","verified_best_known","300","0.769381057040786","0.9976307706295544","0.22824971358876844","tpa1-b26cd2ea134f1455"
"iso-a85-r0p75","isosceles/apex-85/rectangle-0.75","isosceles","85","0.75","vertical lattice","verified_best_known","80","0.830162248409788","0.9961946980917457","0.16603244968195763","tpa1-3efbedd3116d8c98"
"iso-a85-r0p9","isosceles/apex-85/rectangle-0.9","isosceles","85","0.9","obtuse horizontal lattice","verified_best_known","97","0.8388097718307219","0.9944651934075586","0.15565542157683665","tpa1-6ccbfd3f4eadea5b"
"iso-a85-r1p05","isosceles/apex-85/rectangle-1.05","isosceles","85","1.05","obtuse horizontal lattice","verified_best_known","116","0.8598109001387072","0.9932298329188535","0.13341893278014627","tpa1-6fe7ef4c97629cff"
"iso-a85-r1p2","isosceles/apex-85/rectangle-1.2","isosceles","85","1.2","obtuse horizontal lattice","verified_best_known","136","0.8820473889353985","0.9987889551180261","0.11674156618262765","tpa1-1b6707ad4738dea5"
"iso-a85-r1p35","isosceles/apex-85/rectangle-1.35","isosceles","85","1.35","obtuse horizontal lattice","verified_best_known","156","0.8993424357772702","0.9973477012145368","0.09800526543726651","tpa1-8638158b5b164d4e"
"iso-a85-r1p5","isosceles/apex-85/rectangle-1.5","isosceles","85","1.5","obtuse horizontal lattice","verified_best_known","177","0.9183669873033291","0.9961946980917457","0.07782771078841655","tpa1-61a8123c7f2b1a6c"
