id,experiment_id,family,apex_angle,rectangle_ratio,pattern,evidence,pieces,utilization,upper_bound,gap,fingerprint
"iso-a105-r1p2","isosceles/apex-105/rectangle-1.2","isosceles","105","1.2","obtuse horizontal lattice","verified_best_known","143","0.8992668825477639","0.9998841561195434","0.10061727357177952","tpa1-13b77946b6dd5499"
"iso-a105-r1p35","isosceles/apex-105/rectangle-1.35","isosceles","105","1.35","obtuse horizontal lattice","verified_best_known","156","0.8720163709554074","0.9949930386542486","0.12297666769884119","tpa1-d006acb0e6230f23"
"iso-a105-r1p5","isosceles/apex-105/rectangle-1.5","isosceles","105","1.5","obtuse horizontal lattice","verified_best_known","182","0.9156171895031777","0.9961110083606016","0.0804938188574239","tpa1-db4c1b86eb7e5a53"
"iso-a105-r1p65","isosceles/apex-105/rectangle-1.65","isosceles","105","1.65","obtuse horizontal lattice","verified_best_known","195","0.8918349248407575","0.9970257108476179","0.10519078600686038","tpa1-46ede209e7bc6c06"
"iso-a105-r1p8","isosceles/apex-105/rectangle-1.8","isosceles","105","1.8","obtuse horizontal lattice","verified_best_known","221","0.9265173941401201","0.9977879629201314","0.07127056878001126","tpa1-8593dedf199b8caa"
"iso-a105-r1p95","isosceles/apex-105/rectangle-1.95","isosceles","105","1.95","obtuse horizontal lattice","verified_best_known","234","0.9055554621459998","0.9984329454430273","0.0928774832970275","tpa1-e79465bac055dae3"
"iso-a105-r2p1","isosceles/apex-105/rectangle-2.1","isosceles","105","2.1","obtuse horizontal lattice","verified_best_known","260","0.9343032545950791","0.9989857876055095","0.06468253301043037","tpa1-4c3fea9d13aa28fa"
"iso-a105-r2p25","isosceles/apex-105/rectangle-2.25","isosceles","105","2.25","obtuse horizontal lattice","verified_best_known","273","0.9156171895031782","0.9994649174796609","0.08384772797648277","tpa1-f4a12deeec44e91e"
"iso-a105-r2p4","isosceles/apex-105/rectangle-2.4","isosceles","105","2.4","obtuse horizontal lattice","verified_best_known","299","0.9401426499363014","0.9998841561195434","0.05974150618324203","tpa1-8c65dffe93cbae18"
"iso-a105-r2p55","isosceles/apex-105/rectangle-2.55","isosceles","105","2.55","obtuse horizontal lattice","verified_best_known","300","0.8877994726921596","0.9972947409908579","0.10949526829869827","tpa1-2809c2b28875c70c"
"iso-a105-r2p7","isosceles/apex-105/rectangle-2.7","isosceles","105","2.7","obtuse horizontal lattice","verified_best_known","300","0.8384772797648173","0.9977879629201313","0.15931068315531394","tpa1-2dd409c4880140c9"
"iso-a105-r2p85","isosceles/apex-105/rectangle-2.85","isosceles","105","2.85","obtuse horizontal lattice","verified_best_known","300","0.7943468966193006","0.9982292667515865","0.20388237013228594","tpa1-c8eec90e0abde454"
"iso-a105-r3","isosceles/apex-105/rectangle-3","isosceles","105","3","obtuse horizontal lattice","verified_best_known","300","0.7546295517883356","0.9986264401998962","0.24399688841156064","tpa1-597e49f3e50bdcdd"
"iso-a110-r0p75","isosceles/apex-110/rectangle-0.75","isosceles","110","0.75","vertical lattice","verified_best_known","85","0.8320195079875221","0.998423409585028","0.16640390159750584","tpa1-438d808860f0d33c"
"iso-a110-r0p9","isosceles/apex-110/rectangle-0.9","isosceles","110","0.9","vertical lattice","verified_best_known","103","0.8401765619873993","0.9951605879850769","0.15498402599767758","tpa1-32684c3be88fbf20"
"iso-a110-r1p05","isosceles/apex-110/rectangle-1.05","isosceles","110","1.05","obtuse horizontal lattice","verified_best_known","121","0.8460030291301689","0.9998217616992927","0.15381873256912382","tpa1-0b5a26513b2b46ed"
"iso-a110-r1p2","isosceles/apex-110/rectangle-1.2","isosceles","110","1.2","obtuse horizontal lattice","verified_best_known","137","0.8381372984874297","0.9971998514850463","0.15906255299761662","tpa1-846668ad3ffbd33f"
"iso-a110-r1p35","isosceles/apex-110/rectangle-1.35","isosceles","110","1.35","obtuse horizontal lattice","verified_best_known","156","0.8483336159872764","0.9951605879850768","0.14682697199780037","tpa1-601652885dd71106"
"iso-a110-r1p5","isosceles/apex-110/rectangle-1.5","isosceles","110","1.5","obtuse horizontal lattice","verified_best_known","174","0.8515964375872275","0.998423409585028","0.14682697199780048","tpa1-ad57451e2d7da67c"
"iso-a110-r1p65","isosceles/apex-110/rectangle-1.65","isosceles","110","1.65","obtuse horizontal lattice","verified_best_known","195","0.8676139254415327","0.9966436887123273","0.12902976327079463","tpa1-a81c56be76306468"
"iso-a110-r1p8","isosceles/apex-110/rectangle-1.8","isosceles","110","1.8","obtuse horizontal lattice","verified_best_known","208","0.8483336159872763","0.9992391149850157","0.15090549899773942","tpa1-6ebf12741fd2939e"
"iso-a110-r1p95","isosceles/apex-110/rectangle-1.95","isosceles","110","1.95","obtuse horizontal lattice","verified_best_known","234","0.880961831986787","0.99767045075427","0.11670861876748295","tpa1-f4644843b22b801c"
"iso-a110-r2p1","isosceles/apex-110/rectangle-2.1","isosceles","110","2.1","obtuse horizontal lattice","verified_best_known","247","0.8634824305584777","0.9998217616992927","0.13633933114081498","tpa1-4e3b3b8e3e25f65f"
"iso-a110-r2p25","isosceles/apex-110/rectangle-2.25","isosceles","110","2.25","obtuse horizontal lattice","verified_best_known","260","0.8483336159872763","0.998423409585028","0.15008979359775165","tpa1-19daa7844e1d6c56"
"iso-a110-r2p4","isosceles/apex-110/rectangle-2.4","isosceles","110","2.4","obtuse horizontal lattice","verified_best_known","286","0.8748440414868801","0.9971998514850463","0.1223558099981662","tpa1-45746029399f6e31"
"iso-a110-r2p55","isosceles/apex-110/rectangle-2.55","isosceles","110","2.55","obtuse horizontal lattice","verified_best_known","299","0.8608091103400328","0.9989992016320782","0.1381900912920454","tpa1-be83c6b1e772b531"
"iso-a110-r2p7","isosceles/apex-110/rectangle-2.7","isosceles","110","2.7","obtuse horizontal lattice","verified_best_known","300","0.8157053999877679","0.997879605985036","0.18217420599726808","tpa1-695a5eae4f0f5fe5"
"iso-a110-r2p85","isosceles/apex-110/rectangle-2.85","isosceles","110","2.85","obtuse horizontal lattice","verified_best_known","300","0.772773536830517","0.999453774300802","0.22668023747028498","tpa1-f81a1126b58f42ed"
"iso-a110-r3","isosceles/apex-110/rectangle-3","isosceles","110","3","obtuse horizontal lattice","verified_best_known","300","0.7341348599889912","0.998423409585028","0.26428854959603676","tpa1-52b936d45bb0b1f2"
"s406575-r0p75","scalene/s406575/rectangle-0.75","scalene","40","0.75","acute horizontal lattice","verified_best_known","136","0.8751394645963216","0.9974015956796295","0.12226213108330786","tpa1-f975a95043a6541c"
"s406575-r0p9","scalene/s406575/rectangle-0.9","scalene","40","0.9","vertical lattice","verified_best_known","155","0.8311679963996934","0.9974015956796294","0.16623359927993597","tpa1-63726fa4cb89cb11"
"s406575-r1p05","scalene/s406575/rectangle-1.05","scalene","40","1.05","vertical lattice","verified_best_known","183","0.8411266912874327","0.9974015956796294","0.1562749043921967","tpa1-35e258e24be6d20a"
"s406575-r1p2","scalene/s406575/rectangle-1.2","scalene","40","1.2","vertical lattice","verified_best_known","211","0.8485957124532367","0.9974015956796295","0.14880588322639277","tpa1-d4ac4ed39a55c577"
"s406575-r1p35","scalene/s406575/rectangle-1.35","scalene","40","1.35","vertical lattice","verified_best_known","239","0.854404951137749","0.9974015956796293","0.14299664454188032","tpa1-6e1ab35bee16708f"
"s406575-r1p5","scalene/s406575/rectangle-1.5","scalene","40","1.5","vertical lattice","verified_best_known","267","0.8590523420853589","0.9974015956796295","0.13834925359427064","tpa1-6211e1d5905597c4"
"s406575-r1p65","scalene/s406575/rectangle-1.65","scalene","40","1.65","vertical lattice","verified_best_known","295","0.8628547528606755","0.9974015956796296","0.13454684281895413","tpa1-97f05142980af2db"
"s406575-r1p8","scalene/s406575/rectangle-1.8","scalene","40","1.8","acute horizontal lattice","verified_best_known","300","0.8043561255480874","0.9974015956796294","0.19304547013154194","tpa1-3fd2100ff7e02068"
"s406575-r1p95","scalene/s406575/rectangle-1.95","scalene","40","1.95","acute horizontal lattice","verified_best_known","300","0.7424825774290036","0.9998765376043928","0.2573939601753892","tpa1-65d47be8c9dadea8"
"s406575-r2p1","scalene/s406575/rectangle-2.1","scalene","40","2.1","acute horizontal lattice","verified_best_known","300","0.689448107612646","0.9996997560383383","0.3102516484256923","tpa1-96f6e5cb706f5fea"
"s406575-r2p25","scalene/s406575/rectangle-2.25","scalene","40","2.25","acute horizontal lattice","verified_best_known","300","0.6434849004384695","0.9995465453477578","0.35606164490928827","tpa1-5ac764f5dfb8ab40"
"s406575-r2p4","scalene/s406575/rectangle-2.4","scalene","40","2.4","acute horizontal lattice","verified_best_known","300","0.603267094161065","0.9994124859934996","0.3961453918324346","tpa1-1e33b023ce9b8a7f"
"s406575-r2p55","scalene/s406575/rectangle-2.55","scalene","40","2.55","acute horizontal lattice","verified_best_known","300","0.5677807945045318","0.999294198327978","0.43151340382344616","tpa1-56d34facac1aa935"
"s406575-r2p7","scalene/s406575/rectangle-2.7","scalene","40","2.7","acute horizontal lattice","verified_best_known","300","0.5362374170320576","0.9991890537364029","0.46295163670434525","tpa1-73dec59cf03879b9"
"s406575-r2p85","scalene/s406575/rectangle-2.85","scalene","40","2.85","acute horizontal lattice","verified_best_known","300","0.5080143950830022","0.9990949769965728","0.4910805819135706","tpa1-88aa3cf9884371d6"
"s406575-r3","scalene/s406575/rectangle-3","scalene","40","3","acute horizontal lattice","verified_best_known","300","0.4826136753288521","0.9990103079307256","0.5163966326018736","tpa1-69d36ccc6c21bfa0"
"s507060-r0p75","scalene/s507060/rectangle-0.75","scalene","50","0.75","acute horizontal lattice","verified_best_known","113","0.8310084225081851","0.9927976729080071","0.16178925039982206","tpa1-c3a3e05cfcd8ee05"
"s507060-r0p9","scalene/s507060/rectangle-0.9","scalene","50","0.9","acute horizontal lattice","verified_best_known","141","0.8641016782717857","0.9989260536049702","0.13482437533318448","tpa1-eedd74bf90678c59"
"s507060-r1p05","scalene/s507060/rectangle-1.05","scalene","50","1.05","acute horizontal lattice","verified_best_known","167","0.8772339226224208","0.9980505706482612","0.12081664802584036","tpa1-d88cde4988bd486a"
"s507060-r1p2","scalene/s507060/rectangle-1.2","scalene","50","1.2","acute horizontal lattice","verified_best_known","193","0.8870831058853962","0.9973939584307294","0.11031085254533324","tpa1-9c43616afb4848ff"
"s507060-r1p35","scalene/s507060/rectangle-1.35","scalene","50","1.35","vertical lattice","verified_best_known","216","0.8824868203626723","0.9968832600393158","0.11439643967664348","tpa1-5c3a5daefbaa3218"
"s507060-r1p5","scalene/s507060/rectangle-1.5","scalene","50","1.5","acute horizontal lattice","verified_best_known","242","0.8898408771990263","0.9964747013261849","0.1066338241271586","tpa1-99ab9e6cd68dcf60"
"s507060-r1p65","scalene/s507060/rectangle-1.65","scalene","50","1.65","acute horizontal lattice","verified_best_known","267","0.8925150796849725","0.9994831791228759","0.10696809943790342","tpa1-2d71bd8cbb66ff24"
"s507060-r1p8","scalene/s507060/rectangle-1.8","scalene","50","1.8","acute horizontal lattice","verified_best_known","293","0.8978077721050758","0.9989260536049702","0.10111828149989444","tpa1-ff5e1d0ed5fb78c6"
"s507060-r1p95","scalene/s507060/rectangle-1.95","scalene","50","1.95","acute horizontal lattice","verified_best_known","300","0.8485450195794887","0.9984546397052038","0.14990962012571507","tpa1-e9387485079ac351"
"s507060-r2p1","scalene/s507060/rectangle-2.1","scalene","50","2.1","acute horizontal lattice","verified_best_known","300","0.7879346610380966","0.9980505706482612","0.21011590961016458","tpa1-5437203e848743a6"
"s507060-r2p25","scalene/s507060/rectangle-2.25","scalene","50","2.25","acute horizontal lattice","verified_best_known","300","0.7354056836355569","0.9977003774655776","0.2622946938300207","tpa1-55db5c54de552044"
"s507060-r2p4","scalene/s507060/rectangle-2.4","scalene","50","2.4","acute horizontal lattice","verified_best_known","300","0.6894428284083347","0.9996921011920906","0.3102492727837559","tpa1-9ada8c22b5afeae3"
"s507060-r2p55","scalene/s507060/rectangle-2.55","scalene","50","2.55","acute horizontal lattice","verified_best_known","300","0.6488873679137268","0.9992865465871444","0.35039917867341763","tpa1-47768ceffa7c0f4e"
"s507060-r2p7","scalene/s507060/rectangle-2.7","scalene","50","2.7","acute horizontal lattice","verified_best_known","300","0.6128380696962974","0.9989260536049701","0.3860879839086727","tpa1-806855c20663302a"
"s507060-r2p85","scalene/s507060/rectangle-2.85","scalene","50","2.85","acute horizontal lattice","verified_best_known","300","0.5805834344491239","0.9986035072524985","0.4180200728033746","tpa1-a21675407cf71679"
"s507060-r3","scalene/s507060/rectangle-3","scalene","50","3","acute horizontal lattice","verified_best_known","300","0.5515542627266677","0.998313215535274","0.4467589528086062","tpa1-9d4e4e75ebfedf56"
"s358065-r0p75","scalene/s358065/rectangle-0.75","scalene","35","0.75","acute horizontal lattice","verified_best_known","155","0.8524069583971108","0.9953913514185612","0.14298439302145038","tpa1-646fe9add4bd6bc4"
"s358065-r0p9","scalene/s358065/rectangle-0.9","scalene","35","0.9","vertical lattice","verified_best_known","186","0.8524069583971109","0.9990576179062907","0.14665065950917977","tpa1-a6ddd5b828d84398"
"s358065-r1p05","scalene/s358065/rectangle-1.05","scalene","35","1.05","vertical lattice","verified_best_known","218","0.8563351010625353","0.9977482370178158","0.1414131359552805","tpa1-5611022c67611df8"
"s358065-r1p2","scalene/s358065/rectangle-1.2","scalene","35","1.2","acute horizontal lattice","verified_best_known","251","0.8627183328938502","0.9967662013514599","0.13404786845760963","tpa1-76e108423ed52724"
"s358065-r1p35","scalene/s358065/rectangle-1.35","scalene","35","1.35","acute horizontal lattice","verified_best_known","284","0.8676830687626503","0.9990576179062906","0.13137454914364022","tpa1-c0b4c0083a983aba"
"s358065-r1p5","scalene/s358065/rectangle-1.5","scalene","35","1.5","acute horizontal lattice","verified_best_known","300","0.8249099597391395","0.9981410512843584","0.17323109154521887","tpa1-92ff74d40f2b0370"
"s358065-r1p65","scalene/s358065/rectangle-1.65","scalene","35","1.65","acute horizontal lattice","verified_best_known","300","0.7499181452173995","0.9998908602898656","0.2499727150724661","tpa1-7969864100b77e0f"
"s358065-r1p8","scalene/s358065/rectangle-1.8","scalene","35","1.8","acute horizontal lattice","verified_best_known","300","0.6874249664492829","0.9990576179062907","0.3116326514570078","tpa1-07cd1ac7bd048f17"
"s358065-r1p95","scalene/s358065/rectangle-1.95","scalene","35","1.95","acute horizontal lattice","verified_best_known","300","0.6345461228762611","0.9983525666586504","0.36380644378238924","tpa1-e5fcce5f4ca9d0d7"
"s358065-r2p1","scalene/s358065/rectangle-2.1","scalene","35","2.1","acute horizontal lattice","verified_best_known","300","0.589221399813671","0.9997123083505282","0.4104909085368571","tpa1-7234d439124eafed"
"s358065-r2p25","scalene/s358065/rectangle-2.25","scalene","35","2.25","acute horizontal lattice","verified_best_known","300","0.5499399731594263","0.9990576179062907","0.44911764474686433","tpa1-5df85e8bb9275610"
"s358065-r2p4","scalene/s358065/rectangle-2.4","scalene","35","2.4","acute horizontal lattice","verified_best_known","300","0.5155687248369621","0.998484763767583","0.48291603893062085","tpa1-92ad61ac3bdd21c1"
"s358065-r2p55","scalene/s358065/rectangle-2.55","scalene","35","2.55","acute horizontal lattice","verified_best_known","300","0.4852411527877291","0.9995967747427215","0.5143556219549923","tpa1-9e03fcbba7d30a0c"
"s358065-r2p7","scalene/s358065/rectangle-2.7","scalene","35","2.7","acute horizontal lattice","verified_best_known","300","0.4582833109661886","0.9990576179062906","0.540774306940102","tpa1-153f8e119af6d994"
"s358065-r2p85","scalene/s358065/rectangle-2.85","scalene","35","2.85","acute horizontal lattice","verified_best_known","300","0.4341631367048102","0.9985752144210631","0.5644120777162529","tpa1-c01cd18b345cc872"
"s358065-r3","scalene/s358065/rectangle-3","scalene","35","3","acute horizontal lattice","verified_best_known","300","0.41245497986956975","0.9995159012172569","0.5870609213476872","tpa1-2ad782788589aef1"
